Freq(Hz),Z'(Ohm),"Z""(Ohm)"
100000.0,99.23941515926418,-0.06077102400504786
89747.04009584349,100.91355603194638,-0.06019650900675533
80545.3120596494,100.35047464690712,-1.4422115808084495
72287.03350949565,98.92818783243564,-1.842096619901224
64875.47294786289,99.68027092215969,-1.1868303388778076
58223.8167188866,101.47510993425503,-0.27010734668961944
52254.15213602959,98.22440696761592,0.00214870104446091
46896.55486926553,99.83550162367332,-0.9053656919170648
42088.26990208889,101.20548127682542,0.5773539928594599
37772.976464674546,99.51480560898482,-0.6867050329133547
33900.12833314499,99.68208728617697,-0.6080910801580133
30424.361767690036,100.16815262129893,-0.8365759787678357
27304.964154553254,101.45770257590216,-0.6365748183423237
24505.39712794255,99.77634453502284,-0.24842457148422947
21992.86858606028,99.95765710269217,-0.35402919321455684
19737.948588157687,99.99358388641265,-1.686743001596883
17714.224633510854,102.13727669188162,0.16196460998827344
15897.992284504739,102.15713919602871,-2.0301031261837705
14267.977510008572,101.2503811325863,-1.1966534183982562
12805.087496773325,100.80039272248798,-1.5950628289863888
11492.187010036998,101.13125184913103,-2.3405582821728586
10313.897683787221,101.79031152419938,-1.6983649183521201
9256.417889712782,99.91286638441991,-2.379695492039174
8307.361074919352,101.6745806114695,-1.890153450763065
7455.610674814365,99.81308549474566,-1.800867403851813
6691.189901715636,100.39965817098793,-1.1347849775706247
6005.144883981762,101.74233303053413,-2.2701763314233636
5389.4397868406,99.9955706374508,-3.2240790533996275
4836.862686437171,101.16560611552961,-3.2829799107165445
4340.941094577661,100.74713626452333,-3.10791305924956
3895.8661446875603,101.41335386830913,-3.410686028844576
3496.424550953137,99.58563215299351,-2.5979852755578365
3137.9375436648243,100.6423591498312,-2.942987246961926
2816.2060654953934,101.76636545407048,-4.651578111895146
2527.461586781727,103.36965965450376,-5.117452840897229
2268.321963696039,102.82789568510658,-7.04382828811905
2035.7518222611084,103.34844403373431,-5.758218250988702
1827.0270041765395,104.31827466098649,-6.418523385493952
1639.7026580002055,103.52876992257363,-6.2270780436618685
1471.5846019280557,104.96699732357327,-5.920650488086886
1320.7036227366311,104.64487867841626,-6.359461738999361
1185.2924098447018,104.49426441318082,-6.762117027113813
1063.764854316313,106.18414851702795,-6.778496743209462
954.6974703287526,107.60310385453596,-7.196545806295952
856.8127214899482,108.08096011766355,-7.048747353422547
768.9640567018716,108.47663999103152,-9.85264811468708
690.1224802908528,111.07669086261912,-7.494916289756655
619.3644990970612,110.16131466560012,-7.331635500329087
555.8613053440591,111.26514541639925,-7.434717674034103
498.86906858441176,112.89947707640027,-7.215206422350266
447.720223008213,110.67027667212834,-6.324042335643617
401.8156480603804,111.43668643713958,-7.184755792868875
360.61765077612296,114.18794846687385,-4.746328648673161
323.6436676347356,112.64195052338616,-5.745050515738505
290.4606121598046,113.75415999486283,-6.084370609743427
260.6798020576923,114.99999631563475,-6.029086511222831
233.9524064744823,115.2377020933743,-5.723329135750689
209.96536004384438,116.27900515973788,-6.186893220979667
188.43769586593098,116.39416640303168,-5.34494144804709
169.11725446448068,116.35168607209984,-4.876197023304452
151.77773017322716,115.15585970799987,-4.484061054635907
136.21602035512717,116.67036907932133,-4.352053839297241
122.24984640507832,116.53203881237356,-4.924280919421907
109.7156186702726,115.4543239418573,-5.7468061302365765
98.46652027941231,117.87511967120516,-5.080012207433518
88.37078743614603,117.6066711043797,-3.2070242247052136
79.31016603333052,117.21274241001076,-3.7531244321526964
71.17852651001319,117.2032194166495,-4.168404246300363
63.880620726572054,116.64409377915172,-5.0879429858252685
57.33096629695033,117.97675820762028,-4.511203857129961
51.45284530985853,118.40918177409522,-5.574007420815227
46.17740571069101,117.59109208090787,-5.086279399576115
41.44285481839419,119.41296782040467,-4.935864240614719
37.1937355307264,117.83946292234222,-5.143564330149436
33.38027673990301,117.26076468871022,-4.223029429301073
29.95781034986427,120.04216396613297,-6.276856217468153
26.88624806652941,119.14902924416944,-6.007363507407446
24.129611832536096,119.6435033496107,-6.607636185469376
21.655612406317545,119.35923524504655,-6.710589033665229
19.435271149298263,119.04276668895963,-5.8545413046136145
17.442580591096615,121.64443900089239,-7.487863992489797
15.654199796841278,120.41736249239864,-5.879256640743849
14.049180968354593,122.64201950264751,-6.976309690543219
12.608724076806796,122.32161915172043,-7.042630792138733
11.315956652786067,121.80535580240837,-7.181420888996508
10.15573615440417,121.58990536385241,-8.152454989028575
9.114472598521195,122.29544540489391,-7.369484435297444
8.179969377519468,122.35680674639643,-8.766971552839246
7.341280397070116,125.46590615989963,-8.579018128667572
6.588581861506815,124.4225589132322,-9.684245412652274
5.913057204993993,125.73284941184701,-9.792091517577713
5.306793820656121,124.34893268152622,-10.331397318973062
4.762690378027984,126.08786244675734,-10.917434861370769
4.274373643209655,127.4973591137745,-12.492636258704247
3.836123827417535,126.93272561751098,-11.995419816987614
3.442807589518621,128.70682965628703,-13.267133965754791
3.0898179077880132,127.73303806377649,-13.214224788566952
2.7730201165910606,128.26833886327313,-16.188057211094023
2.4887034759027853,130.4629628585943,-16.42852996646751
2.2335377063851234,130.70068420358785,-15.801240326528724
2.0045339809052396,132.40899102994047,-15.484794914181064
1.7990099155778296,131.25371556727097,-17.240349540719464
1.614558150261835,134.39863406798224,-19.44042591336591
1.4490181504861979,136.95529242641913,-21.289832810873044
1.300450900512898,135.96287876399444,-20.44243899760551
1.1671161911100683,137.17716900677343,-22.26331212731258
1.047452236000632,138.52553714894194,-22.95377317241372
0.9400573782282965,138.1927357149703,-24.63038839030429
0.8436736721624843,141.3958383219067,-26.067773737285737
0.75717214883374,141.21940426747707,-25.170002861380986
0.6795395920083763,143.69084868127283,-29.067987247452876
0.6098666701068876,146.6414755159099,-30.801873003536198
0.547337284952014,146.7628472202464,-32.47294235340445
0.4912190125853851,149.55050251306852,-34.638796455828185
0.44085452418341203,151.85808365152567,-35.27616454479037
0.39565388658322687,153.27473777503806,-38.35323539502606
0.355087652232611,154.0701680402239,-39.67494355805368
0.3186806576245907,157.1336484054138,-42.187160526125666
0.28600645757603915,161.3239143551718,-43.794998871660844
0.25668233015746944,160.62405779782418,-46.92047207180668
0.23036479376536947,164.64940788134086,-50.852103842468196
0.2067455838273129,167.2002107408402,-53.71339260988237
0.18554804201388422,170.6643857574389,-54.45044144610735
0.1665238756632532,174.2548437601618,-59.15172128211148
0.1494502494606524,178.2033384281673,-62.98056208894807
0.13412717530678983,180.1414855188412,-65.90034672586604
0.12037516980200672,184.6400721405088,-67.98483156416657
0.10803315190764666,188.2243907211923,-73.96651413483892
0.09695655615935915,192.25156853307215,-77.57049893035537
0.08701563933188906,195.69338037158613,-81.6826940056183
0.07809396072084504,199.8565302271534,-86.65962906712016
0.07008701824056893,204.53485693894842,-91.36624506027044
0.06290102436234453,209.83481227645618,-96.65797911019271
0.05645180755516963,216.0016530891684,-101.11645687427594
0.050663826361366494,221.95219804498447,-106.63027153475501
0.04546928455862411,227.5125255649773,-112.80241734612473
0.04080733704412147,233.05337049174366,-119.8178845878892
0.03662337713903369,241.52282288121552,-124.07754788919179
0.03286839696542054,248.2446502437576,-133.09478935460203
0.02949841340341698,254.08420887651255,-139.14676791374978
0.02647395290480231,261.45432736088856,-147.97450599124508
0.023759589128427603,270.39338560804106,-154.75603006876665
0.021323527981697593,279.9335963432628,-163.15642509255036
0.019137235207582544,288.29617044889324,-173.73325916958083
0.017175102154984984,298.09171391340703,-184.18654512798835
0.015414145817536452,307.6277825206515,-192.24181253237862
0.013833739627296195,318.8775938361324,-202.01284007307305
0.012415371850064106,331.0588564819049,-214.49148487087467
0.0111424287523251,341.5707400327886,-226.63478306958996
0.01,354.47992217384297,-238.71014206952302
