Freq(Hz),Z'(Ohm),"Z""(Ohm)"
100000.0,100.01125740963244,-0.034646744296962594
89747.04009584349,100.0122750243418,-0.03777864033519049
80545.3120596494,100.0133846264382,-0.0411936444400868
72287.03350949565,100.014594531131,-0.044917348194652526
64875.47294786289,100.01591380528377,-0.048977656535683846
58223.8167188866,100.0173523353602,-0.05340499686962808
52254.15213602959,100.01892090151183,-0.05823254709148902
46896.55486926553,100.02063125836317,-0.06349648421552476
42088.26990208889,100.02249622309917,-0.06923625548094318
37772.976464674546,100.0245297715156,-0.07549487396422476
33900.12833314499,100.02674714275169,-0.08231924091335246
30424.361767690036,100.02916495349027,-0.08976049721947697
27304.964154553254,100.03180132248092,-0.09787440665989997
24505.39712794255,100.03467600631944,-0.10672177378434654
21992.86858606028,100.03781054750122,-0.11636889957610959
19737.948588157687,100.0412284358577,-0.12688807830273266
17714.224633510854,100.04495528458607,-0.1383581392795593
15897.992284504739,100.04901902219113,-0.1508650376060561
14267.977510008572,100.05345010177777,-0.16450249830180563
12805.087496773325,100.05828172926248,-0.17937271866924084
11492.187010036998,100.06355011221396,-0.19558713414653045
10313.897683787221,100.06929473118784,-0.2132672533898144
9256.417889712782,100.0755586355887,-0.23254556884278663
8307.361074919352,100.08238876627648,-0.25356654961730724
7455.610674814365,100.089836307335,-0.2764877241255621
6691.189901715636,100.09795706963867,-0.3014808605768682
6005.144883981762,100.10681190909165,-0.32873325418560934
5389.4397868406,100.11646718267384,-0.3584491307364674
4836.862686437171,100.12699524571126,-0.39085117702507655
4340.941094577661,100.13847499409708,-0.4261822096430204
3895.8661446875603,100.1509924555269,-0.46470699461282217
3496.424550953137,100.1646414341788,-0.5067142315090256
3137.9375436648243,100.17952421366923,-0.5525187169341094
2816.2060654953934,100.19575232355272,-0.602463703562028
2527.461586781727,100.21344737510948,-0.6569234724277404
2268.321963696039,100.23274197268395,-0.7163061377391164
2035.7518222611084,100.25378070740403,-0.7810567052301041
1827.0270041765395,100.2767212407276,-0.8516604069740504
1639.7026580002055,100.30173548593633,-0.9286463376478152
1471.5846019280557,100.3290108964308,-1.0125914194963574
1320.7036227366311,100.35875187048117,-1.1041247257107087
1185.2924098447018,100.39118128296035,-1.2039321946181407
1063.764854316313,100.42654215553848,-1.312761770012045
954.6974703287526,100.46509947785478,-1.43142900614246
